ts,open,high,low,close,volume
2026-01-01T00:00:00Z,42000,42200,41900,42100,1200
2026-01-01T01:00:00Z,42100,42350,42050,42300,1300
2026-01-01T02:00:00Z,42300,42400,42150,42220,1100
2026-01-01T03:00:00Z,42220,42500,42180,42480,1600
2026-01-01T04:00:00Z,42480,42650,42300,42550,1400
2026-01-01T05:00:00Z,42550,42700,42400,42620,1500
2026-01-01T06:00:00Z,42620,42680,42350,42420,1700
2026-01-01T07:00:00Z,42420,42520,42200,42300,1550
2026-01-01T08:00:00Z,42300,42450,42100,42210,1620
2026-01-01T09:00:00Z,42210,42480,42150,42440,1800
2026-01-01T10:00:00Z,42440,42620,42380,42590,1750
2026-01-01T11:00:00Z,42590,42800,42500,42720,1680
