ts,open,high,low,close,volume,mark_price,index_price,funding_rate,oi,liquidations,depth_notional,spread_bps,secondary_price
2026-01-01T00:00:00Z,42000,42100,41950,42080,500,42070,42075,0.0001,1200000000,10000,2000000,8,42078
2026-01-01T00:05:00Z,42080,42220,42000,42190,650,42180,42185,0.0001,1201000000,12000,2100000,9,42188
2026-01-01T00:10:00Z,42190,42300,42110,42270,700,42260,42255,0.0002,1202000000,15000,2200000,10,42262
2026-01-01T00:15:00Z,42270,42310,42150,42180,800,42190,42185,0.0002,1206000000,30000,1800000,15,42170
2026-01-01T00:20:00Z,42180,42400,42170,42370,900,42360,42350,0.0003,1210000000,50000,1700000,18,42320
2026-01-01T00:25:00Z,42370,42500,42300,42450,950,42460,42455,0.0003,1215000000,70000,1500000,22,42400
2026-01-01T00:30:00Z,42450,42620,42410,42590,1000,42580,42570,0.0005,1222000000,100000,1300000,30,42490
2026-01-01T00:35:00Z,42590,42610,42400,42420,1200,42430,42425,0.0004,1224000000,90000,1400000,24,42428
2026-01-01T00:40:00Z,42420,42450,42150,42210,1300,42220,42230,0.0004,1230000000,95000,1200000,28,42205
2026-01-01T00:45:00Z,42210,42300,42020,42070,1400,42080,42090,0.0006,1245000000,160000,900000,45,42000
2026-01-01T00:50:00Z,42070,42200,42000,42150,1200,42140,42135,0.0005,1240000000,100000,1100000,20,42130
2026-01-01T00:55:00Z,42150,42350,42120,42300,1000,42295,42310,0.0003,1235000000,60000,1800000,12,42290
